GeographyCode,GeographyName,GeographyLevel,ParentGeographyCode,ParentGeographyName,CountryCode,CountryName,GeographyLevelSort,MapCountry,GeoLabel,IsEngland,IsWales,IsScotland,IsNorthernIreland
K04000001,England and Wales,England and Wales,,,,,1,United Kingdom,"England and Wales, United Kingdom",False,False,False,False
E92000001,England,Country,,,E92000001,England,2,United Kingdom,"England, United Kingdom",True,False,False,False
N92000002,Northern Ireland,Country,,,N92000002,Northern Ireland,2,United Kingdom,"Northern Ireland, United Kingdom",False,False,False,True
S92000003,Scotland,Country,,,S92000003,Scotland,2,United Kingdom,"Scotland, United Kingdom",False,False,True,False
K02000001,United Kingdom,Country,,,K02000001,United Kingdom,2,United Kingdom,"United Kingdom, United Kingdom",False,False,False,False
W92000004,Wales,Country,,,W92000004,Wales,2,United Kingdom,"Wales, United Kingdom",False,True,False,False
E12000004,East Midlands,Region,E92000001,England,E92000001,England,3,United Kingdom,"East Midlands, United Kingdom",True,False,False,False
E12000006,East of England,Region,E92000001,England,E92000001,England,3,United Kingdom,"East of England, United Kingdom",True,False,False,False
E12000007,London,Region,E92000001,England,E92000001,England,3,United Kingdom,"London, United Kingdom",True,False,False,False
E12000001,North East,Region,E92000001,England,E92000001,England,3,United Kingdom,"North East, United Kingdom",True,False,False,False
E12000002,North West,Region,E92000001,England,E92000001,England,3,United Kingdom,"North West, United Kingdom",True,False,False,False
E12000008,South East,Region,E92000001,England,E92000001,England,3,United Kingdom,"South East, United Kingdom",True,False,False,False
E12000009,South West,Region,E92000001,England,E92000001,England,3,United Kingdom,"South West, United Kingdom",True,False,False,False
E12000005,West Midlands,Region,E92000001,England,E92000001,England,3,United Kingdom,"West Midlands, United Kingdom",True,False,False,False
E12000003,Yorkshire and The Humber,Region,E92000001,England,E92000001,England,3,United Kingdom,"Yorkshire and The Humber, United Kingdom",True,False,False,False
E07000032,Amber Valley,Local Authority,E12000004,East Midlands,E92000001,England,4,United Kingdom,"Amber Valley, United Kingdom",True,False,False,False
E07000170,Ashfield,Local Authority,E12000004,East Midlands,E92000001,England,4,United Kingdom,"Ashfield, United Kingdom",True,False,False,False
