Date,PeriodLabel,Year,MonthNumber,UKAverageHousePrice,UKHPIIndex,UKHousePriceMonthlyGrowth,UKHousePriceAnnualGrowth,AverageWeeklyEarnings,AverageWeeklyEarningsAnnualGrowth,AnnualisedWeeklyEarnings,UnemploymentRate,UnemploymentRatePointChange12M,BankRatePct,BankRatePctPointChange12M,HousePriceToAnnualWageRatio,HousePriceGrowthLessWageGrowth,UKAverageHousePriceIndexCommonBase,AverageWeeklyEarningsIndexCommonBase,UnemploymentRateIndexCommonBase,CommonIndexBaseDate,AverageWeeklyEarningsSourcePeriod,AverageWeeklyEarningsUpdateDate,UnemploymentRateSourcePeriod,UnemploymentRateUpdateDate
1968-04-01,1968-04,1968,4,3311.0,1.3,,,,,,,,,,,,4.247594611930724,,,2000-01-01,,,,
1968-05-01,1968-05,1968,5,3311.0,1.3,,,,,,,,,,,,4.247594611930724,,,2000-01-01,,,,
1968-06-01,1968-06,1968,6,3311.0,1.3,,,,,,,,,,,,4.247594611930724,,,2000-01-01,,,,
1968-07-01,1968-07,1968,7,3424.0,1.3,0.034,,,,,,,,,,,4.392559332905709,,,2000-01-01,,,,
1968-08-01,1968-08,1968,8,3424.0,1.3,0.034,,,,,,,,,,,4.392559332905709,,,2000-01-01,,,,
1968-09-01,1968-09,1968,9,3424.0,1.3,0.034,,,,,,,,,,,4.392559332905709,,,2000-01-01,,,,
1968-10-01,1968-10,1968,10,3405.0,1.3,-0.005,,,,,,,,,,,4.36818473380372,,,2000-01-01,,,,
1968-11-01,1968-11,1968,11,3405.0,1.3,-0.005,,,,,,,,,,,4.36818473380372,,,2000-01-01,,,,
1968-12-01,1968-12,1968,12,3405.0,1.3,-0.005,,,,,,,,,,,4.36818473380372,,,2000-01-01,,,,
1969-01-01,1969-01,1969,1,3461.0,1.3,0.016,,,,,,,,,,,4.440025657472739,,,2000-01-01,,,,
1969-02-01,1969-02,1969,2,3461.0,1.3,0.016,,,,,,,,,,,4.440025657472739,,,2000-01-01,,,,
1969-03-01,1969-03,1969,3,3461.0,1.3,0.016,,,,,,,,,,,4.440025657472739,,,2000-01-01,,,,
1969-04-01,1969-04,1969,4,3517.0,1.3,0.016,0.062,,,,,,,,,,4.511866581141757,,,2000-01-01,,,,
