Date,PeriodLabel,Year,MonthNumber,ActualValue,IndexedValue,AnnualMovementValue,CommonIndexBaseDate,IndicatorSort,Indicator,IndicatorLabel,Unit
2000-01-01,2000-01,2000,1,77950.0,100.0,0.161,2000-01-01,1,UK average house price,Index: house price,GBP
2000-01-01,2000-01,2000,1,305.0,100.0,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-01-01,2000-01,2000,1,0.057999999999999996,100.0,-0.0040000000000000105,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-02-01,2000-02,2000,2,77950.0,100.0,0.161,2000-01-01,1,UK average house price,Index: house price,GBP
2000-02-01,2000-02,2000,2,300.0,98.36065573770492,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-02-01,2000-02,2000,2,0.057999999999999996,100.0,-0.0040000000000000105,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-03-01,2000-03,2000,3,77950.0,100.0,0.161,2000-01-01,1,UK average house price,Index: house price,GBP
2000-03-01,2000-03,2000,3,311.0,101.9672131147541,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-03-01,2000-03,2000,3,0.057,98.27586206896552,-0.0050000000000000044,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-04-01,2000-04,2000,4,82197.0,105.44836433611289,0.174,2000-01-01,1,UK average house price,Index: house price,GBP
2000-04-01,2000-04,2000,4,309.0,101.31147540983608,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-04-01,2000-04,2000,4,0.055999999999999994,96.55172413793103,-0.0050000000000000044,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-05-01,2000-05,2000,5,82197.0,105.44836433611289,0.174,2000-01-01,1,UK average house price,Index: house price,GBP
2000-05-01,2000-05,2000,5,311.0,101.9672131147541,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-05-01,2000-05,2000,5,0.055,94.82758620689657,-0.0049999999999999975,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-06-01,2000-06,2000,6,82197.0,105.44836433611289,0.174,2000-01-01,1,UK average house price,Index: house price,GBP
2000-06-01,2000-06,2000,6,311.0,101.9672131147541,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-06-01,2000-06,2000,6,0.053,91.37931034482759,-0.006999999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-07-01,2000-07,2000,7,83746.0,107.43553559974342,0.13,2000-01-01,1,UK average house price,Index: house price,GBP
2000-07-01,2000-07,2000,7,313.0,102.62295081967213,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-07-01,2000-07,2000,7,0.053,91.37931034482759,-0.006000000000000005,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-08-01,2000-08,2000,8,83746.0,107.43553559974342,0.13,2000-01-01,1,UK average house price,Index: house price,GBP
2000-08-01,2000-08,2000,8,315.0,103.27868852459017,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-08-01,2000-08,2000,8,0.053,91.37931034482759,-0.006000000000000005,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-09-01,2000-09,2000,9,83746.0,107.43553559974342,0.13,2000-01-01,1,UK average house price,Index: house price,GBP
2000-09-01,2000-09,2000,9,317.0,103.93442622950819,,2000-01-01,2,Average weekly earnings,Index: weekly earnings,GBP per week
2000-09-01,2000-09,2000,9,0.054000000000000006,93.10344827586209,-0.00399999999999999,2000-01-01,3,Unemployment rate,Index: unemployment rate,Percent
2000-10-01,2000-10,2000,10,86244.0,110.64015394483644,0.135,2000-01-01,1,UK average house price,Index: house price,GBP
