GeographyCode,GeographyName,PeriodLabel,MedianHousePrice,Year,PeriodEndDate,MedianWorkplaceEarnings,MedianAffordabilityRatio,MedianFiveYearAverageAffordabilityRatio,LowerQuartileHousePrice,LowerQuartileWorkplaceEarnings,LowerQuartileAffordabilityRatio,LowerQuartileFiveYearAverageAffordabilityRatio,GeographyLevel,AffordabilityThresholdPurchase
E12000004,East Midlands,1997,49950.0,1997,1997-09-30,15773,3.17,7.59,37000,11448,3.23,7.32,Country or Region,5.0
E12000004,East Midlands,1998,53000.0,1998,1998-09-30,16279,3.26,7.59,38500,11714,3.29,7.32,Country or Region,5.0
E12000004,East Midlands,1999,56000.0,1999,1999-09-30,16392,3.42,7.59,40000,11961,3.34,7.32,Country or Region,5.0
E12000004,East Midlands,2000,60000.0,2000,2000-09-30,17352,3.46,7.59,43000,12749,3.37,7.32,Country or Region,5.0
E12000004,East Midlands,2001,68000.0,2001,2001-09-30,18291,3.72,7.59,47000,13288,3.54,7.32,Country or Region,5.0
E12000004,East Midlands,2002,79995.0,2002,2002-09-30,19125,4.18,7.59,56000,13818,4.05,7.32,Country or Region,5.0
E12000004,East Midlands,2003,99950.0,2003,2003-09-30,19847,5.04,7.59,71950,14412,4.99,7.32,Country or Region,5.0
E12000004,East Midlands,2004,123000.0,2004,2004-09-30,20691,5.94,7.59,89000,14814,6.01,7.32,Country or Region,5.0
E12000004,East Midlands,2005,130500.0,2005,2005-09-30,21494,6.07,7.59,99950,15329,6.52,7.32,Country or Region,5.0
E12000004,East Midlands,2006,135000.0,2006,2006-09-30,21946,6.15,7.59,105000,15668,6.7,7.32,Country or Region,5.0
E12000004,East Midlands,2007,142995.0,2007,2007-09-30,22222,6.43,7.59,112950,16066,7.03,7.32,Country or Region,5.0
E12000004,East Midlands,2008,142000.0,2008,2008-09-30,23271,6.1,7.59,110000,16905,6.51,7.32,Country or Region,5.0
E12000004,East Midlands,2009,132000.0,2009,2009-09-30,24357,5.42,7.59,100000,17512,5.71,7.32,Country or Region,5.0
E12000004,East Midlands,2010,140000.0,2010,2010-09-30,24118,5.8,7.59,105000,17588,5.97,7.32,Country or Region,5.0
E12000004,East Midlands,2011,136995.0,2011,2011-09-30,24002,5.71,7.59,102000,17446,5.85,7.32,Country or Region,5.0
E12000004,East Midlands,2012,137400.0,2012,2012-09-30,24626,5.58,7.59,104000,17852,5.83,7.32,Country or Region,5.0
E12000004,East Midlands,2013,140000.0,2013,2013-09-30,24918,5.62,7.59,106000,18094,5.86,7.32,Country or Region,5.0
E12000004,East Midlands,2014,148500.0,2014,2014-09-30,25000,5.94,7.59,113000,18155,6.22,7.32,Country or Region,5.0
E12000004,East Midlands,2015,157000.0,2015,2015-09-30,25003,6.28,7.59,119000,18045,6.59,7.32,Country or Region,5.0
E12000004,East Midlands,2016,165250.0,2016,2016-09-30,25474,6.49,7.59,125000,18690,6.69,7.32,Country or Region,5.0
E12000004,East Midlands,2017,176995.0,2017,2017-09-30,25882,6.84,7.59,130995,18968,6.91,7.32,Country or Region,5.0
E12000004,East Midlands,2018,186000.0,2018,2018-09-30,26711,6.96,7.59,139500,19581,7.12,7.32,Country or Region,5.0
