Date,PeriodLabel,Year,MonthNumber,Scenario,ScenarioSort,ForecastMethod,AveragePrice,AveragePriceSA,DisplayPrice,ActualPriceForPeriod,ForecastPrice,Index,IndexSeasonallyAdjusted,MonthlyChangePct,AnnualChangePct,SalesVolume,BankRatePct,BankRatePctPointChange1M,BankRatePctPointChange12M,BankRateLag12M,RatePriceCorrelation36M,HousePriceAnnualGrowthLead12M,BankRateChangeBand12M,BankRateChangeBandSort,CrisisPeriod,MarketPeriod,IsMarketStressPeriod
1968-04-01,1968-04,1968,4,Actual,1,,3311.0,,3311.0,3311.0,,1.3,,,,,,,,,,0.062,Insufficient rate history,9,,Outside selected market stress periods,False
1968-05-01,1968-05,1968,5,Actual,1,,3311.0,,3311.0,3311.0,,1.3,,,,,,,,,,0.062,Insufficient rate history,9,,Outside selected market stress periods,False
1968-06-01,1968-06,1968,6,Actual,1,,3311.0,,3311.0,3311.0,,1.3,,,,,,,,,,0.062,Insufficient rate history,9,,Outside selected market stress periods,False
1968-07-01,1968-07,1968,7,Actual,1,,3424.0,,3424.0,3424.0,,1.3,,0.034,,,,,,,,0.038,Insufficient rate history,9,,Outside selected market stress periods,False
1968-08-01,1968-08,1968,8,Actual,1,,3424.0,,3424.0,3424.0,,1.3,,0.034,,,,,,,,0.038,Insufficient rate history,9,,Outside selected market stress periods,False
1968-09-01,1968-09,1968,9,Actual,1,,3424.0,,3424.0,3424.0,,1.3,,0.034,,,,,,,,0.038,Insufficient rate history,9,,Outside selected market stress periods,False
1968-10-01,1968-10,1968,10,Actual,1,,3405.0,,3405.0,3405.0,,1.3,,-0.005,,,,,,,,0.055,Insufficient rate history,9,,Outside selected market stress periods,False
1968-11-01,1968-11,1968,11,Actual,1,,3405.0,,3405.0,3405.0,,1.3,,-0.005,,,,,,,,0.055,Insufficient rate history,9,,Outside selected market stress periods,False
1968-12-01,1968-12,1968,12,Actual,1,,3405.0,,3405.0,3405.0,,1.3,,-0.005,,,,,,,,0.055,Insufficient rate history,9,,Outside selected market stress periods,False
1969-01-01,1969-01,1969,1,Actual,1,,3461.0,,3461.0,3461.0,,1.3,,0.016,,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-02-01,1969-02,1969,2,Actual,1,,3461.0,,3461.0,3461.0,,1.3,,0.016,,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-03-01,1969-03,1969,3,Actual,1,,3461.0,,3461.0,3461.0,,1.3,,0.016,,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-04-01,1969-04,1969,4,Actual,1,,3517.0,,3517.0,3517.0,,1.3,,0.016,0.062,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-05-01,1969-05,1969,5,Actual,1,,3517.0,,3517.0,3517.0,,1.3,,0.016,0.062,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-06-01,1969-06,1969,6,Actual,1,,3517.0,,3517.0,3517.0,,1.3,,0.016,0.062,,,,,,,0.043,Insufficient rate history,9,,Outside selected market stress periods,False
1969-07-01,1969-07,1969,7,Actual,1,,3554.0,,3554.0,3554.0,,1.4,,0.011000000000000001,0.038,,,,,,,0.079,Insufficient rate history,9,,Outside selected market stress periods,False
1969-08-01,1969-08,1969,8,Actual,1,,3554.0,,3554.0,3554.0,,1.4,,0.011000000000000001,0.038,,,,,,,0.079,Insufficient rate history,9,,Outside selected market stress periods,False
