DATE,IUMABEDR
31 Jan 1975,11.3295
28 Feb 1975,10.6875
31 Mar 1975,10.2632
30 Apr 1975,9.9091
31 May 1975,9.9762
30 Jun 1975,10
31 Jul 1975,10.1739
31 Aug 1975,11
30 Sep 1975,11
31 Oct 1975,11.8696
30 Nov 1975,11.875
31 Dec 1975,11.4643
31 Jan 1976,10.8333
29 Feb 1976,9.625
31 Mar 1976,9.0543
30 Apr 1976,9.375
31 May 1976,10.75
30 Jun 1976,11.5
31 Jul 1976,11.5
31 Aug 1976,11.5
30 Sep 1976,12.4545
31 Oct 1976,14.619
30 Nov 1976,14.9205
31 Dec 1976,14.619
31 Jan 1977,13.775
28 Feb 1977,12.025
31 Mar 1977,11.0652
30 Apr 1977,9.1184
31 May 1977,8.119
30 Jun 1977,8
31 Jul 1977,8
31 Aug 1977,7.3409
30 Sep 1977,6.4318
31 Oct 1977,5.3571
30 Nov 1977,5.2727
31 Dec 1977,7
31 Jan 1978,6.5952
28 Feb 1978,6.5
31 Mar 1978,6.5
30 Apr 1978,7.15
31 May 1978,8.6548
30 Jun 1978,9.7727
31 Jul 1978,10
31 Aug 1978,10
30 Sep 1978,10
31 Oct 1978,10
30 Nov 1978,11.8182
31 Dec 1978,12.5
31 Jan 1979,12.5
28 Feb 1979,13.625
31 Mar 1979,13
30 Apr 1979,12.1579
31 May 1979,12
30 Jun 1979,13.2381
31 Jul 1979,14
31 Aug 1979,14
30 Sep 1979,14
31 Oct 1979,14
30 Nov 1979,15.6364
31 Dec 1979,17
31 Jan 1980,17
29 Feb 1980,17
31 Mar 1980,17
30 Apr 1980,17
31 May 1980,17
30 Jun 1980,17
31 Jul 1980,16.087
31 Aug 1980,16
30 Sep 1980,16
31 Oct 1980,16
30 Nov 1980,15.6
31 Dec 1980,14
31 Jan 1981,14
28 Feb 1981,14
31 Mar 1981,12.6364
30 Apr 1981,12
31 May 1981,12
30 Jun 1981,12
31 Jul 1981,12
31 Aug 1981,12.1375
30 Sep 1981,13.4034
31 Oct 1981,14.6989
30 Nov 1981,14.7292
31 Dec 1981,14.4018
31 Jan 1982,14.1844
28 Feb 1982,13.8406
31 Mar 1982,13.3641
30 Apr 1982,13.175
31 May 1982,13.125
30 Jun 1982,12.7386
31 Jul 1982,12.2045
31 Aug 1982,11.2857
30 Sep 1982,10.5682
31 Oct 1982,9.7917
30 Nov 1982,9.2557
31 Dec 1982,10
31 Jan 1983,10.7
28 Feb 1983,11
31 Mar 1983,10.7527
30 Apr 1983,10.2336
31 May 1983,10.0625
30 Jun 1983,9.7557
31 Jul 1983,9.5625
31 Aug 1983,9.5568
30 Sep 1983,9.5625
31 Oct 1983,9.0625
30 Nov 1983,9.0625
31 Dec 1983,9.0625
31 Jan 1984,9.0625
29 Feb 1984,9.0625
31 Mar 1984,8.7102
30 Apr 1984,8.5625
31 May 1984,8.9196
30 Jun 1984,9.0536
31 Jul 1984,11.1591
31 Aug 1984,11.0114
30 Sep 1984,10.5
31 Oct 1984,10.5
30 Nov 1984,9.8636
31 Dec 1984,9.5
31 Jan 1985,11.375
28 Feb 1985,13.875
31 Mar 1985,13.6369
30 Apr 1985,12.675
31 May 1985,12.375
30 Jun 1985,12.375
31 Jul 1985,11.962
31 Aug 1985,11.375
30 Sep 1985,11.375
31 Oct 1985,11.375
30 Nov 1985,11.375
31 Dec 1985,11.375
31 Jan 1986,11.9659
28 Feb 1986,12.375
31 Mar 1986,12.0066
30 Apr 1986,10.8523
31 May 1986,10.25
30 Jun 1986,9.875
31 Jul 1986,9.875
31 Aug 1986,9.875
30 Sep 1986,9.875
31 Oct 1986,10.4402
30 Nov 1986,10.875
31 Dec 1986,10.875
31 Jan 1987,10.875
28 Feb 1987,10.875
31 Mar 1987,10.2614
30 Apr 1987,9.8
31 May 1987,8.9803
30 Jun 1987,8.875
31 Jul 1987,8.875
31 Aug 1987,9.725
30 Sep 1987,9.875
31 Oct 1987,9.7386
30 Nov 1987,8.9226
31 Dec 1987,8.4226
31 Jan 1988,8.375
29 Feb 1988,8.875
31 Mar 1988,8.6359
30 Apr 1988,7.9539
31 May 1988,7.625
30 Jun 1988,8.2841
31 Jul 1988,9.8512
31 Aug 1988,10.9432
30 Sep 1988,11.875
31 Oct 1988,11.875
30 Nov 1988,12.0568
31 Dec 1988,12.875
31 Jan 1989,12.875
28 Feb 1989,12.875
31 Mar 1989,12.875
30 Apr 1989,12.875
31 May 1989,13.0417
30 Jun 1989,13.75
31 Jul 1989,13.75
31 Aug 1989,13.7543
30 Sep 1989,13.7783
31 Oct 1989,14.6705
30 Nov 1989,14.875
31 Dec 1989,14.875
31 Jan 1990,14.875
28 Feb 1990,14.875
31 Mar 1990,14.875
30 Apr 1990,14.875
31 May 1990,14.875
30 Jun 1990,14.875
31 Jul 1990,14.875
31 Aug 1990,14.875
30 Sep 1990,14.875
31 Oct 1990,14.0924
30 Nov 1990,13.875
31 Dec 1990,13.875
31 Jan 1991,13.875
28 Feb 1991,13.525
31 Mar 1991,12.75
30 Apr 1991,12.0655
31 May 1991,11.756
30 Jun 1991,11.375
31 Jul 1991,11.0707
31 Aug 1991,10.875
30 Sep 1991,10.4226
31 Oct 1991,10.375
30 Nov 1991,10.375
31 Dec 1991,10.375
31 Jan 1992,10.375
29 Feb 1992,10.375
31 Mar 1992,10.375
30 Apr 1992,10.375
31 May 1992,9.9013
30 Jun 1992,9.875
31 Jul 1992,9.875
31 Aug 1992,9.875
30 Sep 1992,9.5568
31 Oct 1992,8.375
30 Nov 1992,7.3036
31 Dec 1992,6.875
31 Jan 1993,6.675
28 Feb 1993,5.875
31 Mar 1993,5.875
30 Apr 1993,5.875
31 May 1993,5.875
30 Jun 1993,5.875
31 Jul 1993,5.875
31 Aug 1993,5.875
30 Sep 1993,5.875
31 Oct 1993,5.875
30 Nov 1993,5.7386
31 Dec 1993,5.375
31 Jan 1994,5.375
28 Feb 1994,5.1875
31 Mar 1994,5.125
30 Apr 1994,5.125
31 May 1994,5.125
30 Jun 1994,5.125
31 Jul 1994,5.125
31 Aug 1994,5.125
30 Sep 1994,5.4659
31 Oct 1994,5.625
30 Nov 1994,5.625
31 Dec 1994,6.025
31 Jan 1995,6.125
28 Feb 1995,6.6
31 Mar 1995,6.625
